,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
0,1,Spider-Man: No Way Home,"$1,884,731,501","$797,731,501",42.3%,"$1,087,000,000",57.7%
1,2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%
2,3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
3,4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
4,5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
5,6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
6,7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",42.5%,"$288,500,000",57.5%
7,8,Godzilla vs. Kong,"$468,216,094","$100,916,094",21.6%,"$367,300,000",78.4%
8,9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
9,10,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
10,11,Dune,"$400,576,297","$108,232,338",27%,"$292,343,959",73%
11,12,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
12,13,Sing 2,"$377,219,695","$158,549,695",42%,"$218,670,000",58%
13,14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
14,15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
15,16,Encanto,"$251,654,619","$95,924,633",38.1%,"$155,729,986",61.9%
16,17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
17,18,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%
18,19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
19,20,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%
20,21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",32.5%,"$136,400,000",67.5%
21,22,Ghostbusters: Afterlife,"$197,360,575","$129,360,575",65.5%,"$68,000,000",34.5%
22,23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
23,24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
24,25,The Suicide Squad,"$167,417,425","$55,817,425",33.3%,"$111,600,000",66.7%
25,26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",43.3%,"$92,300,000",56.7%
26,27,House of Gucci,"$156,987,388","$53,809,574",34.3%,"$103,177,814",65.7%
27,28,The Matrix Resurrections,"$156,575,035","$37,686,805",24.1%,"$118,888,230",75.9%
28,29,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%
29,30,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
30,31,The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%
31,32,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%
32,33,Tom & Jerry: The Movie,"$133,336,687","$46,536,687",34.9%,"$86,800,000",65.1%
33,34,Jujutsu Kaisen 0: The Movie,"$132,854,533","$17,698,677",13.3%,"$115,155,856",86.7%
34,35,Be Somebody,"$132,326,332",-,-,"$132,326,332",100%
35,36,Halloween Kills,"$131,647,155","$92,002,155",69.9%,"$39,645,000",30.1%
36,37,Raya and the Last Dragon,"$130,423,032","$54,723,032",42%,"$75,700,000",58%
37,38,Sister,"$128,317,206",-,-,"$128,317,206",100%
38,39,The King's Man,"$125,928,656","$37,176,373",29.5%,"$88,752,283",70.5%
39,40,The Addams Family 2,"$119,815,153","$56,489,153",47.1%,"$63,326,000",52.9%
40,41,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
41,42,Clifford the Big Red Dog,"$107,347,356","$48,947,356",45.6%,"$58,400,000",54.4%
42,43,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
